Latitude,Longitude,Company
"29° 24' 06.00"" S","51° 56' 30.00"" W",Mobile-1
"29° 05' 15.00"" S","50° 52' 05.00"" W",Mobile-1
"31° 26' 34.74"" S","52° 25' 19.61"" W",Mobile-1
"31° 37' 09.85"" S","53° 15' 27.57"" W",Mobile-1
"29° 39' 50.80"" S","51° 03' 24.90"" W",Mobile-1
"30° 01' 13.26"" S","51° 12' 58.25"" W",Mobile-1
"29° 21' 02.52"" S","50° 10' 32.16"" W",Mobile-1
"29° 38' 05.00"" S","50° 57' 06.00"" W",Mobile-1
"30° 00' 42.37"" S","51° 09' 32.36"" W",Mobile-1
"30° 58' 12.20"" S","54° 40' 47.60"" W",Mobile-1
"31° 43' 04.44"" S","52° 18' 30.64"" W",Mobile-1
"30° 53' 37.50"" S","55° 29' 43.00"" W",Mobile-1
"30° 03' 06.26"" S","51° 10' 52.32"" W",Mobile-1
"30° 01' 32.00"" S","51° 10' 55.00"" W",Mobile-1
"29° 05' 17.79"" S","53° 48' 55.87"" W",Mobile-1
"33° 16' 01.21"" S","53° 06' 33.87"" W",Mobile-1
"29° 38' 40.00"" S","49° 57' 01.00"" W",Mobile-1
"31° 20' 13.46"" S","54° 05' 33.00"" W",Mobile-1
"28° 52' 21.22"" S","52° 10' 36.89"" W",Mobile-1
"30° 41' 07.84"" S","51° 24' 45.68"" W",Mobile-1
"29° 32' 37.00"" S","49° 53' 24.18"" W",Mobile-1
"28° 23' 07.44"" S","53° 53' 35.16"" W",Mobile-1
"30° 04' 23.52"" S","51° 11' 41.03"" W",Mobile-1
"29° 43' 07.50"" S","51° 09' 34.00"" W",Mobile-1
"29° 52' 42.10"" S","51° 16' 51.60"" W",Mobile-1
"27° 15' 05.00"" S","53° 02' 02.00"" W",Mobile-1
"27° 23' 43.20"" S","52° 19' 17.00"" W",Mobile-1
"29° 46' 25.47"" S","50° 01' 31.98"" W",Mobile-1
"27° 38' 00.50"" S","52° 14' 23.30"" W",Mobile-1
"30° 04' 47.76"" S","51° 43' 44.01"" W",Mobile-1
